"Geslacht";"Leeftijd";"Vervoerwijzen";"Reismotieven";"Marges";"Perioden";"Ritten per persoon per dag (gemiddeld) (aantal)";"Afgelegde afstand per rit (gemiddeld) (km)";"Reisduur per rit (Minuten)"
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2017*";0,2;7,71;14,8
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2018*";0,2;7,7;14,85
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2019*";0,2;7,78;14,86
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2020*";0,2;6,7;13,02
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2021*";0,2;6,97;13,64
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2022*";0,2;7,3;14,18
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2023*";0,2;7,52;14,61
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"1999*";0,02;21,61;25,68
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2000*";0,02;22,03;26,18
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2001*";0,02;22,14;26,56
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2002*";0,02;22,46;27,05
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2003*";0,02;22,7;27,48
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2004*";0,02;22,56;27,77
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2005*";0,02;23;28,26
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2006*";0,02;23,3;28,65
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2007*";0,02;23,51;29,07
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2008*";0,02;23,46;29,34
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2009*";0,02;23,66;29,73
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2010*";0,02;23,88;30,11
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2011*";0,02;24,37;30,68
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2012*";0,02;24,46;31,07
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2013*";0,02;24,66;31,37
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2014*";0,01;25,37;31,89
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2015*";0,02;25,26;32,08
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2016*";0,02;25,55;32,48
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2017*";0,02;26,03;32,95
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2018*";0,02;25,83;33,05
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2019*";0,01;26,09;33,31
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2020*";0,01;26,44;33,54
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2021*";0,01;26,89;33,62
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2022*";0,01;26,63;34,24
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2023*";0,01;26,57;34,81
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"1999*";0,31;18,15;27,9
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2000*";0,3;18,23;27,98
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2001*";0,29;18,48;28,03
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2002*";0,3;18,63;28,07
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2003*";0,3;19;28,24
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2004*";0,3;19,27;28,34
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2005*";0,29;19,61;28,46
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2006*";0,28;19,79;28,57
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2007*";0,27;19,96;28,71
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2008*";0,27;19,76;28,6
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2009*";0,27;20,03;28,74
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2010*";0,27;20,1;28,76
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2011*";0,26;20,76;29,05
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2012*";0,27;20,54;29
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2013*";0,27;20,84;28,98
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2014*";0,27;21,27;29,3
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2015*";0,26;21,44;29,36
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2016*";0,26;21,39;29,3
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2017*";0,26;21,45;29,24
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2018*";0,26;22,06;29,42
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2019*";0,26;22,07;29,47
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2020*";0,2;20,62;29,53
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2021*";0,21;22,18;31,5
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2022*";0,23;21,36;29,94
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Vrije tijd";"Waarde";"2023*";0,25;21,13;29,21
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"1999*";0,26;17,63;23,07
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2000*";0,26;17,53;22,91
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2001*";0,25;17,54;22,92
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2002*";0,26;17,39;22,77
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2003*";0,26;17,52;22,83
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2004*";0,24;16,99;22,64
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2005*";0,24;16,89;22,63
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2006*";0,24;16,7;22,52
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2007*";0,25;16,43;22,55
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2008*";0,24;16,21;22,4
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2009*";0,25;16,28;22,43
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2010*";0,24;16,38;22,53
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2011*";0,23;16,63;22,45
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2012*";0,23;16,57;22,43
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2013*";0,23;16,33;22,27
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2014*";0,22;15,9;22,09
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2015*";0,21;16,07;22,08
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2016*";0,2;16,05;22,02
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2017*";0,2;16,13;22,01
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2018*";0,21;16;21,87
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2019*";0,21;16,31;22,08
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2020*";0,19;14,36;19,91
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2021*";0,2;14,66;20,63
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2022*";0,21;14,72;21,13
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2023*";0,21;15,06;21,39
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"1999*";0,48;19,04;28,42
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2000*";0,46;18,99;28,3
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2001*";0,45;19,03;28,15
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2002*";0,44;19,03;28,08
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2003*";0,44;19,27;28,09
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2004*";0,44;19,34;28,17
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2005*";0,42;19,46;28,08
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2006*";0,41;19,33;27,9
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2007*";0,4;19,27;27,93
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2008*";0,39;18,74;27,7
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2009*";0,39;18,98;27,74
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2010*";0,4;19,06;27,67
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2011*";0,36;19,51;27,72
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2012*";0,36;19,21;27,7
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2013*";0,37;19,53;27,68
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2014*";0,35;19,75;27,81
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2015*";0,34;19,7;27,62
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2016*";0,34;19,49;27,58
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2017*";0,33;19,63;27,5
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2018*";0,33;19,96;27,55
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2019*";0,32;20,12;27,57
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2020*";0,25;17,32;25,84
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2021*";0,27;19,09;28
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2022*";0,29;19,01;27,72
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2023*";0,31;19,27;27,52
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"1999*";0,05;21;31,52
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2000*";0,04;21,09;31,37
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2001*";0,04;20,57;31,1
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2002*";0,04;20,66;30,9
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2003*";0,04;20,68;30,81
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2004*";0,04;20,63;30,62
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2005*";0,04;21,42;30,78
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2006*";0,03;21,3;30,57
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2007*";0,03;21,24;30,49
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2008*";0,03;20,57;30,1
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2009*";0,03;20,76;30,05
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2010*";0,03;20,93;29,97
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2011*";0,03;21,31;29,91
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2012*";0,02;20,92;29,69
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2013*";0,02;21,02;29,5
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2014*";0,02;21,43;29,55
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2015*";0,02;21,6;29,4
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2016*";0,02;21,35;29,37
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2017*";0,02;21,47;29,3
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2018*";0,02;21,57;29,1
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2019*";0,02;21,43;28,94
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2020*";0,01;17,09;25,15
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2021*";0,01;18,56;26,45
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2022*";0,01;20,25;28,04
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Van en naar het werk";"Waarde";"2023*";0,02;20,47;28,88
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"1999*";0,09;9,99;19,11
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2000*";0,09;10,2;19,09
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2001*";0,09;10,16;19,01
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2002*";0,09;10,17;19,03
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2003*";0,09;10,59;19,14
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2004*";0,09;10,49;19,2
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2005*";0,08;10,54;19,21
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2006*";0,08;10,56;19,15
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2007*";0,08;10,88;19,2
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2008*";0,07;10,13;19,1
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2009*";0,07;10,45;19,14
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2010*";0,08;10,81;19,27
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2011*";0,07;11,1;19,27
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2012*";0,07;10,72;19,2
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2013*";0,07;10,9;19,24
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2014*";0,07;11,1;19,3
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2015*";0,07;10,94;19,28
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2016*";0,07;10,87;19,22
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2017*";0,07;11,35;19,24
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2018*";0,07;11,36;19,33
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2019*";0,06;11,65;19,34
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2020*";0,05;9,34;16,82
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2021*";0,05;10,08;17,87
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2022*";0,06;10,82;18,62
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Winkelen, boodschappen doen";"Waarde";"2023*";0,06;11,31;19,14
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"1999*";0,03;8,84;17,26
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2000*";0,03;8,81;17,13
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2001*";0,03;8,62;16,91
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2002*";0,03;8,76;17,01
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2003*";0,02;8,87;17,07
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2004*";0,03;8,85;17,12
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2005*";0,03;8,99;17,21
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2006*";0,03;8,89;17,15
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2007*";0,03;8,66;16,9
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2008*";0,03;8,35;16,72
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2009*";0,03;8,3;16,7
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2010*";0,03;8,89;17,21
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2011*";0,03;8,62;16,87
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2012*";0,02;8,19;16,62
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2013*";0,03;8,43;16,79
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2014*";0,02;8,43;16,66
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2015*";0,02;8,39;16,78
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2016*";0,03;8,57;16,97
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2017*";0,02;8,45;16,76
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2018*";0,02;8,28;16,74
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2019*";0,02;8,11;16,54
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2020*";0,02;7,67;16
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2021*";0,02;8,23;16,75
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2022*";0,02;8,49;17,68
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2023*";0,02;8,36;18
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"1999*";0,25;21,47;32,46
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2000*";0,24;21,3;32,33
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2001*";0,23;21,76;32,31
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2002*";0,23;21,96;32,33
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2003*";0,23;22,28;32,39
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2004*";0,23;22,94;32,57
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2005*";0,22;23,24;32,5
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2006*";0,21;23,32;32,5
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2007*";0,21;23,26;32,55
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2008*";0,2;22,83;32,36
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2009*";0,2;23,18;32,42
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2010*";0,2;23,28;32,45
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2011*";0,19;23,82;32,48
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2012*";0,19;23,42;32,43
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2013*";0,2;24,04;32,44
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2014*";0,19;24,45;32,67
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2015*";0,18;24,57;32,53
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2016*";0,18;24,15;32,41
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2017*";0,18;24,2;32,28
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2018*";0,18;24,83;32,38
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2019*";0,18;25,03;32,44
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2020*";0,13;22,27;32,04
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Vrije tijd";"Waarde";"2021*";0,14;24,7;34,93
