"Populatie";"Geslacht";"Persoonskenmerken";"Reismotieven";"Marges";"Perioden";"Regio's";"Gemiddeld per persoon per jaar/Verplaatsingen (aantal)";"Gemiddeld per persoon per jaar/Afstand (reizigerskilometers)";"Gemiddeld per persoon per jaar/Reisduur (uren)"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Visite, logeren";"Waarde";"2018";"Nederland";"      93";"    2102";"    43.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Visite, logeren";"Waarde";"2019";"Nederland";"      91";"    2030";"    44.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Visite, logeren";"Waarde";"2020";"Nederland";"      82";"    1372";"    32.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Visite, logeren";"Waarde";"2021";"Nederland";"      78";"    1537";"    35.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Visite, logeren";"Waarde";"2022";"Nederland";"      81";"    1696";"    38.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Visite, logeren";"Waarde";"2023";"Nederland";"      87";"    1739";"    40.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Uitgaan, sport, hobby";"Waarde";"2018";"Nederland";"     180";"    2432";"    81.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Uitgaan, sport, hobby";"Waarde";"2019";"Nederland";"     177";"    2407";"    81.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Uitgaan, sport, hobby";"Waarde";"2020";"Nederland";"     127";"    1693";"    67.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Uitgaan, sport, hobby";"Waarde";"2021";"Nederland";"     128";"    1653";"    70.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Uitgaan, sport, hobby";"Waarde";"2022";"Nederland";"     165";"    2141";"    79.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Uitgaan, sport, hobby";"Waarde";"2023";"Nederland";"     180";"    2367";"    83.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Toeren, wandelen";"Waarde";"2018";"Nederland";"      66";"     466";"    60.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Toeren, wandelen";"Waarde";"2019";"Nederland";"      66";"     439";"    62.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Toeren, wandelen";"Waarde";"2020";"Nederland";"     104";"     698";"    92.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Toeren, wandelen";"Waarde";"2021";"Nederland";"     123";"     793";"   113.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Toeren, wandelen";"Waarde";"2022";"Nederland";"     107";"     585";"    92.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Toeren, wandelen";"Waarde";"2023";"Nederland";"     100";"     575";"    86.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Overige reismotieven";"Waarde";"2018";"Nederland";"     216";"    1513";"    51.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Overige reismotieven";"Waarde";"2019";"Nederland";"     209";"    1483";"    50.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Overige reismotieven";"Waarde";"2020";"Nederland";"     196";"    1320";"    44.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Overige reismotieven";"Waarde";"2021";"Nederland";"     210";"    1352";"    49.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Overige reismotieven";"Waarde";"2022";"Nederland";"     232";"    1479";"    53.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Overige reismotieven";"Waarde";"2023";"Nederland";"     229";"    1417";"    52.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Totaal";"Waarde";"2018";"Nederland";"    1022";"   14828";"   475.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Totaal";"Waarde";"2019";"Nederland";"    1009";"   14771";"   474.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Totaal";"Waarde";"2020";"Nederland";"     916";"   10877";"   414.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Totaal";"Waarde";"2021";"Nederland";"     964";"   11745";"   457.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Totaal";"Waarde";"2022";"Nederland";"    1037";"   12841";"   475.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Totaal";"Waarde";"2023";"Nederland";"    1031";"   13698";"   478.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Van en naar het werk";"Waarde";"2018";"Nederland";"     260";"    4958";"   126.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Van en naar het werk";"Waarde";"2019";"Nederland";"     243";"    4625";"   118.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Van en naar het werk";"Waarde";"2020";"Nederland";"     187";"    3238";"    81.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Van en naar het werk";"Waarde";"2021";"Nederland";"     186";"    3212";"    80.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Van en naar het werk";"Waarde";"2022";"Nederland";"     213";"    3803";"    99.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Van en naar het werk";"Waarde";"2023";"Nederland";"     219";"    4144";"   105.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Zakelijk, beroepsmatig";"Waarde";"2018";"Nederland";"      41";"    1331";"    25.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Zakelijk, beroepsmatig";"Waarde";"2019";"Nederland";"      61";"    1742";"    36.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Zakelijk, beroepsmatig";"Waarde";"2020";"Nederland";"      46";"    1191";"    23.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Zakelijk, beroepsmatig";"Waarde";"2021";"Nederland";"      44";"    1128";"    23.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Zakelijk, beroepsmatig";"Waarde";"2022";"Nederland";"      50";"    1331";"    27.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Zakelijk, beroepsmatig";"Waarde";"2023";"Nederland";"      52";"    1478";"    30.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2018";"Nederland";"      34";"     340";"    11.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2019";"Nederland";"      37";"     325";"    11.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2020";"Nederland";"      31";"     306";"     9.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2021";"Nederland";"      36";"     310";"    10.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2022";"Nederland";"      39";"     304";"    11.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2023";"Nederland";"      35";"     288";"    10.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Winkelen, boodschappen doen";"Waarde";"2018";"Nederland";"     244";"    1368";"    59.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Winkelen, boodschappen doen";"Waarde";"2019";"Nederland";"     240";"    1426";"    58.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Winkelen, boodschappen doen";"Waarde";"2020";"Nederland";"     246";"    1119";"    51.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Winkelen, boodschappen doen";"Waarde";"2021";"Nederland";"     250";"    1187";"    55.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Winkelen, boodschappen doen";"Waarde";"2022";"Nederland";"     253";"    1250";"    56.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Winkelen, boodschappen doen";"Waarde";"2023";"Nederland";"     250";"    1377";"    60.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2018";"Nederland";"       9";"     194";"     4.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2019";"Nederland";"       9";"     191";"     4.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2020";"Nederland";"       5";"      98";"     2.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2021";"Nederland";"       4";"      91";"     2.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2022";"Nederland";"       7";"     129";"     3.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2023";"Nederland";"       6";"     147";"     3.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Visite, logeren";"Waarde";"2018";"Nederland";"     110";"    2634";"    57.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Visite, logeren";"Waarde";"2019";"Nederland";"      95";"    2075";"    46.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Visite, logeren";"Waarde";"2020";"Nederland";"      78";"    1453";"    33.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Visite, logeren";"Waarde";"2021";"Nederland";"      89";"    1745";"    41.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Visite, logeren";"Waarde";"2022";"Nederland";"      92";"    1879";"    43.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Visite, logeren";"Waarde";"2023";"Nederland";"      96";"    1896";"    45.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Uitgaan, sport, hobby";"Waarde";"2018";"Nederland";"     148";"    2115";"    72.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Uitgaan, sport, hobby";"Waarde";"2019";"Nederland";"     154";"    2444";"    76.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Uitgaan, sport, hobby";"Waarde";"2020";"Nederland";"     103";"    1394";"    56.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Uitgaan, sport, hobby";"Waarde";"2021";"Nederland";"     100";"    1686";"    59.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Uitgaan, sport, hobby";"Waarde";"2022";"Nederland";"     142";"    2072";"    75.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Uitgaan, sport, hobby";"Waarde";"2023";"Nederland";"     147";"    2229";"    73.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Toeren, wandelen";"Waarde";"2018";"Nederland";"      86";"     757";"    88.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Toeren, wandelen";"Waarde";"2019";"Nederland";"      83";"     761";"    90.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Toeren, wandelen";"Waarde";"2020";"Nederland";"     132";"     996";"   126.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Toeren, wandelen";"Waarde";"2021";"Nederland";"     154";"    1184";"   150.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Toeren, wandelen";"Waarde";"2022";"Nederland";"     141";"     962";"   126.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Toeren, wandelen";"Waarde";"2023";"Nederland";"     129";"     884";"   117.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Overige reismotieven";"Waarde";"2018";"Nederland";"      89";"    1132";"    29.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Overige reismotieven";"Waarde";"2019";"Nederland";"      87";"    1182";"    31.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Overige reismotieven";"Waarde";"2020";"Nederland";"      90";"    1081";"    29.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Overige reismotieven";"Waarde";"2021";"Nederland";"     102";"    1202";"    33.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Overige reismotieven";"Waarde";"2022";"Nederland";"      99";"    1110";"    32.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Overige reismotieven";"Waarde";"2023";"Nederland";"      95";"    1256";"    32.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Totaal";"Waarde";"2018";"Nederland";"     868";"   11134";"   445.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Totaal";"Waarde";"2019";"Nederland";"     844";"   10824";"   442.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Totaal";"Waarde";"2020";"Nederland";"     773";"    7541";"   377.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Totaal";"Waarde";"2021";"Nederland";"     843";"    8843";"   440.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Totaal";"Waarde";"2022";"Nederland";"     925";"    9761";"   458.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Totaal";"Waarde";"2023";"Nederland";"     948";"   10107";"   451.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Van en naar het werk";"Waarde";"2018";"Nederland";"      73";"     967";"    28.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Van en naar het werk";"Waarde";"2019";"Nederland";"      69";"     946";"    26.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Van en naar het werk";"Waarde";"2020";"Nederland";"      52";"     684";"    19.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Van en naar het werk";"Waarde";"2021";"Nederland";"      57";"     706";"    21.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Van en naar het werk";"Waarde";"2022";"Nederland";"      70";"     893";"    26.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Van en naar het werk";"Waarde";"2023";"Nederland";"      77";"    1090";"    31.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Zakelijk, beroepsmatig";"Waarde";"2018";"Nederland";"      11";"     349";"     6.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Zakelijk, beroepsmatig";"Waarde";"2019";"Nederland";"      15";"     546";"    10.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Zakelijk, beroepsmatig";"Waarde";"2020";"Nederland";"      12";"     302";"     6.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Zakelijk, beroepsmatig";"Waarde";"2021";"Nederland";"      13";"     368";"     8.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Zakelijk, beroepsmatig";"Waarde";"2022";"Nederland";"      15";"       .";"     8.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Zakelijk, beroepsmatig";"Waarde";"2023";"Nederland";"      17";"     428";"     9.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2018";"Nederland";"      45";"     457";"    16.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2019";"Nederland";"      45";"     368";"    14.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2020";"Nederland";"      36";"     264";"    11.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2021";"Nederland";"      43";"     331";"    13.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2022";"Nederland";"      44";"     373";"    14.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Diensten, persoonlijke verzorging";"Waarde";"2023";"Nederland";"      47";"     376";"    14.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Winkelen, boodschappen doen";"Waarde";"2018";"Nederland";"     276";"    1514";"    72.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Winkelen, boodschappen doen";"Waarde";"2019";"Nederland";"     260";"    1354";"    68.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Winkelen, boodschappen doen";"Waarde";"2020";"Nederland";"     262";"    1097";"    60.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Winkelen, boodschappen doen";"Waarde";"2021";"Nederland";"     266";"    1143";"    64.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Winkelen, boodschappen doen";"Waarde";"2022";"Nederland";"     288";"    1380";"    71.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Winkelen, boodschappen doen";"Waarde";"2023";"Nederland";"     288";"    1395";"    70.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2018";"Nederland";"       5";"       .";"     2.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2019";"Nederland";"       8";"     103";"     3.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2020";"Nederland";"       5";"      55";"     1.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2021";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2022";"Nederland";"       5";"       .";"     1.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2023";"Nederland";"       7";"     106";"     3.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Visite, logeren";"Waarde";"2018";"Nederland";"     112";"    2894";"    64.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Visite, logeren";"Waarde";"2019";"Nederland";"     107";"    2821";"    65.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Visite, logeren";"Waarde";"2020";"Nederland";"      79";"    1576";"    38.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Visite, logeren";"Waarde";"2021";"Nederland";"      95";"    1988";"    47.1"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Visite, logeren";"Waarde";"2022";"Nederland";"     106";"    2269";"    56.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Visite, logeren";"Waarde";"2023";"Nederland";"     105";"    2189";"    52.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Uitgaan, sport, hobby";"Waarde";"2018";"Nederland";"     165";"    2503";"    87.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Uitgaan, sport, hobby";"Waarde";"2019";"Nederland";"     160";"    2354";"    87.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Uitgaan, sport, hobby";"Waarde";"2020";"Nederland";"      99";"    1298";"    49.7"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Uitgaan, sport, hobby";"Waarde";"2021";"Nederland";"     108";"    1604";"    63.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Uitgaan, sport, hobby";"Waarde";"2022";"Nederland";"     156";"    2004";"    79.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Uitgaan, sport, hobby";"Waarde";"2023";"Nederland";"     160";"    2140";"    82.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Toeren, wandelen";"Waarde";"2018";"Nederland";"      90";"    1173";"   134.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Toeren, wandelen";"Waarde";"2019";"Nederland";"      94";"    1141";"   131.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Toeren, wandelen";"Waarde";"2020";"Nederland";"     137";"    1306";"   161.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Toeren, wandelen";"Waarde";"2021";"Nederland";"     160";"    1540";"   186.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Toeren, wandelen";"Waarde";"2022";"Nederland";"     145";"    1332";"   166.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Toeren, wandelen";"Waarde";"2023";"Nederland";"     134";"    1122";"   148.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Overige reismotieven";"Waarde";"2018";"Nederland";"      90";"    1206";"    32.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Overige reismotieven";"Waarde";"2019";"Nederland";"      85";"    1191";"    35.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Overige reismotieven";"Waarde";"2020";"Nederland";"      92";"     960";"    28.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Overige reismotieven";"Waarde";"2021";"Nederland";"      98";"    1128";"    34.5"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Overige reismotieven";"Waarde";"2022";"Nederland";"      96";"    1098";"    33.5"
